date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,lag_median,value_median
2021-11-12,EU_others,105,Omicron BA.2,Imported,1,2021-11-08,4,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-12,EU_others,105,Omicron BA.2,Imported,1,2021-11-08,4,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-14,FR,106,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-14,FR,106,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-14,EU_others,107,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-14,EU_others,107,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-17,EU_others,108,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-17,EU_others,108,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,EU_others,109,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,EU_others,109,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-17,AS_others,11,Omicron BA.2,Imported,1.368884348322436,2021-11-08,9,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-17,AS_others,11,Omicron BA.2,Imported,1.382711462951956,2021-11-08,9,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,AS_others,110,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,AS_others,110,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-25,US,111,Omicron BA.2,Imported,1,2021-11-08,17,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-25,US,111,Omicron BA.2,Imported,1,2021-11-08,17,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,EU_others,112,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,EU_others,112,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,EU_others,113,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,EU_others,113,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-15,EU_others,114,Omicron BA.2,Imported,1,2021-11-08,7,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-15,EU_others,114,Omicron BA.2,Imported,1,2021-11-08,7,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,EU_others,115,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,EU_others,115,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-21,EU_others,116,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-21,EU_others,116,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-20,EU_others,117,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-20,EU_others,117,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,AS_others,118,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,AS_others,118,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-17,EU_others,119,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-17,EU_others,119,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,AS_others,12,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,AS_others,12,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,120,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,120,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-14,EU_others,121,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-14,EU_others,121,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-21,EU_others,122,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-21,EU_others,122,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,US,123,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,US,123,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,EU_others,124,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,EU_others,124,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-14,EU_others,125,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-14,EU_others,125,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-21,EU_others,126,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-21,EU_others,126,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,127,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,127,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,128,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,128,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,AS_others,129,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,AS_others,129,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-22,EU_others,13,Omicron BA.2,Imported,2,2021-11-08,14,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-22,EU_others,13,Omicron BA.2,Imported,2,2021-11-08,14,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-15,TR,130,Omicron BA.2,Imported,1,2021-11-08,7,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-15,TR,130,Omicron BA.2,Imported,1,2021-11-08,7,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-28,EU_others,131,Omicron BA.2,Imported,1,2021-11-08,20,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-28,EU_others,131,Omicron BA.2,Imported,1,2021-11-08,20,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-20,AS_others,132,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-20,AS_others,132,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,133,Omicron BA.2,Imported,2,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,133,Omicron BA.2,Imported,2,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-14,EU_others,134,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-14,EU_others,134,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-21,EU_others,135,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-21,EU_others,135,Omicron BA.2,Imported,1,2021-11-08,13,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-17,EU_others,136,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-17,EU_others,136,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,137,Omicron BA.2,Imported,2,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,137,Omicron BA.2,Imported,2,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,138,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,138,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-17,FR,139,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-17,FR,139,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-14,EU_others,14,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-14,EU_others,14,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,140,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,140,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,EU_others,141,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,EU_others,141,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-17,EU_others,142,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-17,EU_others,142,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-22,EU_others,143,Omicron BA.2,Imported,2,2021-11-08,14,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-22,EU_others,143,Omicron BA.2,Imported,2,2021-11-08,14,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-20,EU_others,144,Omicron BA.2,Imported,2,2021-11-08,12,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-20,EU_others,144,Omicron BA.2,Imported,2,2021-11-08,12,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,145,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,145,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-11,EU_others,146,Omicron BA.2,Imported,1,2021-11-08,3,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-11,EU_others,146,Omicron BA.2,Imported,1,2021-11-08,3,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-14,SA_others,147,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-14,SA_others,147,Omicron BA.2,Imported,1,2021-11-08,6,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,EU_others,148,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,EU_others,148,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-15,EU_others,149,Omicron BA.2,Imported,1,2021-11-08,7,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-15,EU_others,149,Omicron BA.2,Imported,1,2021-11-08,7,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,FR,15,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,FR,15,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,IN,150,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,IN,150,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-22,EU_others,151,Omicron BA.2,Imported,1,2021-11-08,14,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-22,EU_others,151,Omicron BA.2,Imported,1,2021-11-08,14,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-17,EU_others,152,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-17,EU_others,152,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-12,EU_others,153,Omicron BA.2,Imported,1,2021-11-08,4,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-12,EU_others,153,Omicron BA.2,Imported,1,2021-11-08,4,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-16,EU_others,154,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-16,EU_others,154,Omicron BA.2,Imported,1,2021-11-08,8,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-22,EU_others,155,Omicron BA.2,Imported,1,2021-11-08,14,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-22,EU_others,155,Omicron BA.2,Imported,1,2021-11-08,14,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-11,EU_others,156,Omicron BA.2,Imported,1,2021-11-08,3,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-11,EU_others,156,Omicron BA.2,Imported,1,2021-11-08,3,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,IN,157,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,IN,157,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-11,EU_others,158,Omicron BA.2,Imported,1,2021-11-08,3,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-11,EU_others,158,Omicron BA.2,Imported,1,2021-11-08,3,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-20,EU_others,159,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-20,EU_others,159,Omicron BA.2,Imported,1,2021-11-08,12,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-17,EU_others,16,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-17,EU_others,16,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-18,GB,160,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
2021-11-18,GB,160,Omicron BA.2,Imported,1,2021-11-08,10,Traveler weight,Change DSR,1,2,fig_3d,8,1
2021-11-17,FR,161,Omicron BA.2,Imported,1,2021-11-08,9,Traveler weight,Change DSR,0.99,2,fig_3d,8,1
